timestamp,irradiance W_m2
2018-12-01 12:14,37.617499
2018-12-01 12:16,36.960953
2018-12-01 12:18,40.571953
2018-12-01 12:20,49.107044
2018-12-01 12:22,51.404953
2018-12-01 12:24,51.733226
2018-12-01 12:26,56.985589
2018-12-01 12:28,46.809135
2018-12-01 12:30,55.672498
2018-12-01 12:32,46.809135
2018-12-01 12:34,42.213317
2018-12-01 12:36,40.900226
2018-12-01 12:38,33.021681
2018-12-01 12:40,41.556771
2018-12-01 12:42,40.243681
2018-12-01 12:44,40.900226
2018-12-01 12:46,39.258862
2018-12-01 12:48,34.991317
2018-12-01 12:50,35.647862
2018-12-01 12:52,38.602317
2018-12-01 12:54,33.678226
2018-12-01 12:56,35.31959
2018-12-01 12:58,36.632681
2018-12-01 13:00,35.976135
2018-12-01 13:02,39.258862
2018-12-01 13:04,43.854681
2018-12-01 13:06,45.496044
2018-12-01 13:08,51.07668
2018-12-01 13:10,49.107044
2018-12-01 13:12,39.258862
2018-12-01 13:14,39.587135
2018-12-01 13:16,49.763589
2018-12-01 13:18,49.435317
2018-12-01 13:20,48.450499
2018-12-01 13:22,45.496044
2018-12-01 13:24,35.31959
2018-12-01 13:26,44.511226
2018-12-01 13:28,45.167771
2018-12-01 13:30,28.425863
2018-12-01 13:32,23.830045
2018-12-01 13:34,19.234226
2018-12-01 13:36,24.48659
2018-12-01 13:38,24.158317
2018-12-01 13:40,26.784499
2018-12-01 13:42,25.471408
2018-12-01 13:44,24.158317
2018-12-01 13:46,25.471408
2018-12-01 13:48,25.471408
2018-12-01 13:50,20.87559
2018-12-01 13:52,17.921136
2018-12-01 13:54,17.592863
2018-12-01 13:56,17.592863
2018-12-01 13:58,18.577681
2018-12-01 14:00,20.547317
2018-12-01 14:02,16.936317
2018-12-01 14:04,18.249408
2018-12-01 14:06,18.577681
2018-12-01 14:08,17.592863
2018-12-01 14:10,16.279772
2018-12-01 14:12,19.234226
2018-12-01 14:14,15.951499
2018-12-01 14:16,16.608045
2018-12-01 14:18,17.921136
2018-12-01 14:20,15.951499
2018-12-01 14:22,13.981863
2018-12-01 14:24,16.279772
2018-12-01 14:26,14.638408
2018-12-01 14:28,17.592863
2018-12-01 14:30,15.623226
2018-12-01 14:32,18.905954
2018-12-01 14:34,16.936317
2018-12-01 14:36,18.249408
2018-12-01 14:38,20.547317
2018-12-01 14:40,16.279772
2018-12-01 14:42,17.592863
2018-12-01 14:44,14.638408
2018-12-01 14:46,12.340499
2018-12-01 14:48,12.668772
2018-12-01 14:50,13.981863
2018-12-01 14:52,12.997045
2018-12-01 14:54,11.683954
2018-12-01 14:56,11.683954
2018-12-01 14:58,7.088136
2018-12-01 15:00,10.370863
2018-12-01 15:02,7.088136
2018-12-01 15:04,8.401227
2018-12-01 15:06,6.43159
2018-12-01 15:08,8.729499
2018-12-01 15:10,10.04259
2018-12-01 15:12,11.027408
2018-12-01 15:14,9.057772
2018-12-01 15:16,6.43159
2018-12-01 15:18,7.416408
2018-12-01 15:20,9.386045
2018-12-01 15:22,7.416408
2018-12-01 15:24,7.744681
2018-12-01 15:26,8.072954
2018-12-01 15:28,10.370863
2018-12-01 15:30,8.729499
2018-12-01 15:32,8.729499
2018-12-01 15:34,11.355681
2018-12-01 15:36,10.370863
2018-12-01 15:38,10.04259
2018-12-01 15:40,8.401227
2018-12-01 15:42,7.416408
2018-12-01 15:44,8.072954
2018-12-01 15:46,6.759863
2018-12-01 15:48,5.775045
2018-12-01 15:50,6.759863
2018-12-01 15:52,4.790227
2018-12-01 15:54,6.103318
2018-12-01 15:56,4.790227
2018-12-01 15:58,3.805409
2018-12-01 16:00,3.805409
2018-12-01 16:02,4.133681
2018-12-01 16:04,4.790227
